datum;celkovy_cas;aktualny_cas
2022-10-05T17:49Z;14:43;00:01
2022-10-05T17:49Z;14:45;00:01
2022-10-05T17:49Z;14:46;00:01
2022-10-05T17:49Z;14:48;00:01
2022-10-05T17:49Z;14:50;00:01
2022-10-05T17:49Z;14:52;00:01
2022-10-05T17:49Z;14:53;00:01
2022-10-05T17:49Z;14:55;00:01
2022-10-05T17:49Z;14:57;00:01
2022-10-05T17:49Z;14:59;00:01
2022-10-05T17:49Z;15:01;00:01
2022-10-05T17:49Z;15:03;00:01
2022-10-05T17:49Z;15:04;00:01
2022-10-05T17:49Z;15:06;00:01
2022-10-05T17:49Z;15:08;00:01
2022-10-05T17:49Z;15:10;00:01
2022-10-05T17:49Z;15:13;00:02
2022-10-05T17:49Z;15:15;00:02
2022-10-05T17:50Z;15:17;00:01
2022-10-05T17:50Z;15:19;00:01
2022-10-05T17:50Z;15:21;00:01
2022-10-05T17:50Z;15:23;00:01
2022-10-05T17:50Z;15:24;00:01
2022-10-05T17:50Z;15:26;00:01
2022-10-05T17:50Z;15:28;00:01
2022-10-05T17:50Z;15:30;00:01
2022-10-05T17:50Z;15:32;00:01
2022-10-05T17:50Z;15:34;00:01
2022-10-05T17:50Z;15:36;00:01
2022-10-05T17:50Z;15:37;00:01
2022-10-05T17:50Z;15:39;00:01
2022-10-05T17:50Z;15:41;00:01
2022-10-05T17:50Z;15:43;00:01
2022-10-05T17:50Z;15:45;00:01
2022-10-05T17:50Z;15:47;00:01
2022-10-05T17:50Z;15:49;00:01
2022-10-05T17:50Z;15:51;00:01
2022-10-05T17:50Z;15:52;00:01
2022-10-05T17:50Z;15:54;00:01
2022-10-05T17:50Z;15:56;00:01
2022-10-05T17:50Z;15:58;00:01
2022-10-05T17:50Z;16:00;00:01
2022-10-05T17:50Z;16:02;00:01
2022-10-05T17:50Z;16:04;00:01
2022-10-05T17:50Z;16:06;00:01
2022-10-05T17:50Z;16:08;00:01
2022-10-05T17:50Z;16:10;00:01
2022-10-05T17:50Z;16:12;00:01
2022-10-05T17:50Z;16:14;00:01
2022-10-05T17:50Z;16:16;00:01
2022-10-05T17:51Z;16:17;00:01
2022-10-05T17:51Z;16:19;00:01
2022-10-05T17:51Z;16:21;00:01
2022-10-05T17:51Z;16:23;00:01
2022-10-05T17:51Z;16:25;00:01
2022-10-05T17:51Z;16:27;00:01
2022-10-05T17:51Z;16:29;00:01
2022-10-05T17:51Z;16:31;00:01
2022-10-05T17:51Z;16:33;00:01
2022-10-05T17:51Z;16:35;00:01
2022-10-05T17:51Z;16:37;00:01
2022-10-05T17:51Z;16:38;00:01
2022-10-05T17:51Z;16:40;00:01
2022-10-05T17:51Z;16:42;00:01
2022-10-05T17:51Z;16:44;00:01
2022-10-05T17:51Z;16:46;00:01
2022-10-05T17:51Z;16:47;00:01
2022-10-05T17:51Z;16:49;00:01
2022-10-05T17:51Z;16:51;00:01
2022-10-05T17:51Z;16:53;00:01
2022-10-05T17:51Z;16:55;00:01
2022-10-05T17:51Z;16:57;00:01
2022-10-05T17:51Z;16:59;00:01
2022-10-05T17:51Z;17:00;00:01
2022-10-05T17:51Z;17:02;00:01
2022-10-05T17:51Z;17:04;00:01
2022-10-05T17:51Z;17:06;00:01
2022-10-05T17:51Z;17:08;00:01
2022-10-05T17:51Z;17:09;00:01
2022-10-05T17:51Z;17:11;00:01
2022-10-05T17:51Z;17:13;00:01
2022-10-05T17:51Z;17:14;00:01
2022-10-05T17:51Z;17:16;00:01
2022-10-05T17:52Z;17:18;00:01
2022-10-05T17:52Z;17:20;00:01
2022-10-05T17:52Z;17:22;00:01
2022-10-05T17:52Z;17:23;00:01
2022-10-05T17:52Z;17:25;00:01
2022-10-05T17:52Z;17:27;00:01
2022-10-05T17:52Z;17:29;00:01
2022-10-05T17:52Z;17:30;00:01
2022-10-05T17:52Z;17:32;00:01
2022-10-05T17:52Z;17:34;00:01
2022-10-05T17:52Z;17:36;00:01
2022-10-05T17:52Z;17:37;00:01
2022-10-05T17:52Z;17:39;00:01
2022-10-05T17:52Z;17:41;00:01
2022-10-05T17:52Z;17:43;00:01
2022-10-05T17:52Z;17:44;00:01
2022-10-05T17:52Z;17:46;00:01
2022-10-05T17:52Z;17:48;00:01
2022-10-05T17:52Z;17:50;00:01
2022-10-05T17:52Z;17:52;00:01
2022-10-05T17:52Z;17:53;00:01
2022-10-05T17:52Z;17:55;00:01
2022-10-05T17:52Z;17:57;00:01
2022-10-05T17:52Z;17:59;00:01
2022-10-05T17:52Z;18:01;00:01
2022-10-05T17:52Z;18:02;00:01
2022-10-05T17:52Z;18:04;00:01
2022-10-05T17:52Z;18:06;00:01
2022-10-05T17:52Z;18:07;00:01
2022-10-05T17:52Z;18:09;00:01
2022-10-05T17:52Z;18:11;00:01
2022-10-05T17:52Z;18:13;00:01
2022-10-05T17:52Z;18:14;00:01
2022-10-05T17:52Z;18:16;00:01
2022-10-05T17:53Z;18:18;00:01
2022-10-05T17:53Z;18:19;00:01
2022-10-05T17:53Z;18:21;00:01
2022-10-05T17:53Z;18:23;00:01
2022-10-05T17:53Z;18:25;00:01
2022-10-05T17:53Z;18:26;00:01
2022-10-05T17:53Z;18:28;00:01
2022-10-05T17:53Z;18:30;00:01
2022-10-05T17:53Z;18:31;00:01
2022-10-05T17:53Z;18:33;00:01
2022-10-05T17:53Z;18:35;00:01
2022-10-05T17:53Z;18:36;00:01
2022-10-05T17:53Z;18:38;00:01
2022-10-05T17:53Z;18:40;00:01
2022-10-05T17:53Z;18:42;00:01
2022-10-05T17:53Z;18:43;00:01
2022-10-05T17:53Z;18:45;00:01
2022-10-05T17:53Z;18:47;00:01
2022-10-05T17:53Z;18:48;00:01
2022-10-05T17:53Z;18:50;00:01
2022-10-05T17:53Z;18:52;00:01
2022-10-05T17:53Z;18:54;00:01
2022-10-05T17:53Z;18:55;00:01
2022-10-05T17:53Z;18:57;00:01
2022-10-05T17:53Z;18:59;00:01
2022-10-05T17:53Z;19:00;00:01
2022-10-05T17:53Z;19:02;00:01
2022-10-05T17:53Z;19:04;00:01
2022-10-05T17:53Z;19:06;00:01
2022-10-05T17:53Z;19:07;00:01
2022-10-05T17:53Z;19:09;00:01
2022-10-05T17:53Z;19:11;00:01
2022-10-05T17:53Z;19:12;00:01
2022-10-05T17:53Z;19:14;00:01
2022-10-05T17:53Z;19:16;00:01
2022-10-05T17:54Z;19:17;00:01
2022-10-05T17:54Z;19:19;00:01
2022-10-05T17:54Z;19:21;00:01
2022-10-05T17:54Z;19:22;00:01
2022-10-05T17:54Z;19:24;00:01
2022-10-05T17:54Z;19:26;00:01
2022-10-05T17:54Z;19:27;00:01
2022-10-05T17:54Z;19:29;00:01
2022-10-05T17:54Z;19:31;00:01
2022-10-05T17:54Z;19:33;00:01
2022-10-05T17:54Z;19:34;00:01
2022-10-05T17:54Z;19:36;00:01
2022-10-05T17:54Z;19:38;00:01
2022-10-05T17:54Z;19:39;00:01
2022-10-05T17:54Z;19:41;00:01
2022-10-05T17:54Z;19:43;00:01
2022-10-05T17:54Z;19:45;00:01
2022-10-05T17:54Z;19:46;00:01
