datum; celkovy cas; aktualny_cas
2022-10-05T01:47Z;19:20;00:01
2022-10-05T01:47Z;19:22;00:01
2022-10-05T01:47Z;19:24;00:01
2022-10-05T01:47Z;19:26;00:01
2022-10-05T01:47Z;19:27;00:01
2022-10-05T01:47Z;19:29;00:01
2022-10-05T01:47Z;19:31;00:01
2022-10-05T01:47Z;19:33;00:01
2022-10-05T01:47Z;19:35;00:01
2022-10-05T01:47Z;19:37;00:01
2022-10-05T01:47Z;19:38;00:01
2022-10-05T01:47Z;19:40;00:01
2022-10-05T01:47Z;19:42;00:01
2022-10-05T01:47Z;19:43;00:01
2022-10-05T01:47Z;19:45;00:01
2022-10-05T01:47Z;19:47;00:01
2022-10-05T01:47Z;19:48;00:01
2022-10-05T01:47Z;19:50;00:01
2022-10-05T01:47Z;19:52;00:01
2022-10-05T01:47Z;19:54;00:01
2022-10-05T01:47Z;19:56;00:01
2022-10-05T01:47Z;19:58;00:01
2022-10-05T01:47Z;19:59;00:01
2022-10-05T01:47Z;20:01;00:01
2022-10-05T01:47Z;20:03;00:01
2022-10-05T01:48Z;20:05;00:01
2022-10-05T01:48Z;20:07;00:01
2022-10-05T01:48Z;20:08;00:01
2022-10-05T01:48Z;20:10;00:01
2022-10-05T01:48Z;20:13;00:02
2022-10-05T01:48Z;20:15;00:01
2022-10-05T01:48Z;20:16;00:01
2022-10-05T01:48Z;20:18;00:01
2022-10-05T01:48Z;20:20;00:01
2022-10-05T01:48Z;20:22;00:01
2022-10-05T01:48Z;20:23;00:01
2022-10-05T01:48Z;20:25;00:01
2022-10-05T01:48Z;20:27;00:01
2022-10-05T01:48Z;20:29;00:01
2022-10-05T01:48Z;20:31;00:01
2022-10-05T01:48Z;20:35;00:02
2022-10-05T01:48Z;20:38;00:02
2022-10-05T01:48Z;20:40;00:01
2022-10-05T01:48Z;20:41;00:01
2022-10-05T01:48Z;20:43;00:01
2022-10-05T01:48Z;20:45;00:01
2022-10-05T01:48Z;20:46;00:01
2022-10-05T01:48Z;20:48;00:01
2022-10-05T01:48Z;20:50;00:01
2022-10-05T01:48Z;20:52;00:01
2022-10-05T01:48Z;20:53;00:01
2022-10-05T01:48Z;20:55;00:01
2022-10-05T01:48Z;20:57;00:01
2022-10-05T01:48Z;20:59;00:01
2022-10-05T01:48Z;21:00;00:01
2022-10-05T01:48Z;21:02;00:01
2022-10-05T01:48Z;21:04;00:01
2022-10-05T01:49Z;21:05;00:01
2022-10-05T01:49Z;21:07;00:01
2022-10-05T01:49Z;21:09;00:01
2022-10-05T01:49Z;21:10;00:01
2022-10-05T01:49Z;21:12;00:01
2022-10-05T01:49Z;21:14;00:01
2022-10-05T01:49Z;21:16;00:01
2022-10-05T01:49Z;21:17;00:01
2022-10-05T01:49Z;21:19;00:01
2022-10-05T01:49Z;21:21;00:01
2022-10-05T01:49Z;21:22;00:01
2022-10-05T01:49Z;21:24;00:01
2022-10-05T01:49Z;21:26;00:01
